date,fecha,oecd,per_ra,cot,var_mens,var_feb,ra_agri,ra_minas,ra_manu,ra_elec,ra_constr,ra_comer,ra_transp,ra_fin,ra_servsoc,td
2018/01/01,2018-Ene,NIC,,911104,,,86611,5034,171887,11000,33203,179999,37706,87841,297823,
2018/02/01,2018-Feb,NIC,,904957,-6147,,86031,5102,172831,11123,32341,173473,37068,87198,299790,
2018/03/01,2018-Mar,NIC,,896869,-8088,,84248,5183,174250,11019,32562,166647,37029,87309,298622,4.8
2018/04/01,2018-Abr,NIC,,878500,-18369,,80059,5180,173173,11015,32427,158271,36322,85694,296359,
2018/05/01,2018-May,NIC,,853396,-25104,,75284,5159,172218,10770,30511,148596,35515,84390,290953,
2018/06/01,2018-Jun,NIC,,810430,-42966,,67771,5070,169252,10561,25076,134642,33797,81577,282684,5.5
2018/07/01,2018-Jul,NIC,,777302,-33128,,64407,4811,167032,10183,22240,122554,32228,77613,276234,
2018/08/01,2018-Ago,NIC,,762522,-14780,,60358,4675,166335,10026,22435,117508,31738,75488,273959,
2018/09/01,2018-Sept,NIC,,754688,-7834,,59178,4592,165146,9767,22196,115835,31799,74021,272154,6.2
2018/10/01,2018-Oct,NIC,,754109,-579,,59513,4584,162444,9733,22844,116140,31682,74098,273071,
2018/11/01,2018-Nov,NIC,,760998,6889,,66747,4625,162753,9685,23126,116581,32152,73064,272265,
2018/12/01,2018-Dic,NIC,,755874,-5124,,73097,4497,160577,9574,21340,115648,31548,72257,267336,5.3
2019/01/01,2019-Ene,NIC,,757808,1934,,77249,4426,161792,9591,21235,115246,31666,71508,265095,
2019/02/01,2019-Feb,NIC,,755908,-1900,,75969,4494,160300,9472,21515,113457,31521,70751,268429,
2019/03/01,2019-Mar,NIC,,752052,-3856,,72420,4493,160494,9375,22261,112487,31037,70338,269147,6.0
2019/04/01,2019-Abr,NIC,,742137,-9915,,68657,4416,158300,9369,21671,110987,30861,68880,268996,
2019/05/01,2019-May,NIC,,740805,-1332,,66086,4407,159844,9375,22155,110143,30791,68659,269345,
2019/06/01,2019-Jun,NIC,,731691,-9114,,59651,4448,159637,9106,21186,109312,30788,68273,269290,5.4
2019/07/01,2019-Jul,NIC,,726366,-5325,,57247,4413,158509,8961,21057,109080,30592,67731,268776,
2019/08/01,2019-Ago,NIC,,722606,-3760,,56493,4599,156064,8904,20065,108600,30447,68066,269368,
2019/09/01,2019-Sept,NIC,,716543,-6063,,54229,4651,153549,9275,19599,108020,31028,67674,268518,5.4
2019/10/01,2019-Oct,NIC,,720496,3953,,56333,4631,153341,9396,19278,108807,31479,68316,268915,
2019/11/01,2019-Nov,NIC,,729389,8893,,64417,4547,153817,9431,19398,109338,32104,68669,267668,
2019/12/01,2019-Dic,NIC,,727025,-2364,,70678,4447,151408,9412,18043,108847,31870,68307,264013,4.9
2020/01/01,2020-Ene,NIC,,734093,7068,,76489,4651,152888,9445,18558,109688,31903,68345,262126,
2020/02/01,2020-Feb,NIC,,742610,8517,8517,76747,4840,154636,9556,19367,110157,31968,68291,267048,
2020/03/01,2020-Mar,NIC,-0.4,739584,-3026,-3026,71531,4823,153246,9732,20089,109714,31638,69152,269659,4.8
2020/04/01,2020-Abr,NIC,-3.1,719868,-19716,-22742,67251,4713,147109,9735,19959,104940,31641,67501,267019,
2020/05/01,2020-May,NIC,-4.6,708645,-11223,-33965,65246,4556,143211,9678,20055,102270,31356,66483,265790,
2020/06/01,2020-Jun,NIC,-6.1,696953,-11692,-45657,58323,4519,142923,9683,19969,101193,31392,65850,263101,5.4
2020/07/01,2020-Jul,NIC,-6.6,693476,-3477,-49134,56333,4640,145629,9627,20827,99921,31214,65208,260077,
2020/08/01,2020-Ago,NIC,-6.3,695867,2391,-46743,55780,4802,147800,9502,20816,99740,31345,65860,260222,
2020/09/01,2020-Sep,NIC,-6.2,696825,958,-45785,54294,4971,147356,9434,21120,100770,31830,66264,260786,
2020/10/01,2020-Oct,NIC,-4.7,707913,11088,-34697,55821,5183,151950,9453,22506,102337,32433,67042,261188,
